Source;Target;Type;Weight
battista;emilia;Undirected;1
claudia;emilia;Undirected;3
appiani;pirro;Undirected;1
claudia;pirro;Undirected;3
claudia;marinelli;Undirected;3
conti;der_prinz;Undirected;2
marinelli;pirro;Undirected;1
der_prinz;marinelli;Undirected;9
marinelli;orsina;Undirected;3
appiani;marinelli;Undirected;2
claudia;odoardo;Undirected;3
angelo;marinelli;Undirected;1
der_kammerdiener;der_prinz;Undirected;2
der_prinz;emilia;Undirected;2
appiani;claudia;Undirected;4
angelo;pirro;Undirected;1
battista;claudia;Undirected;2
emilia;marinelli;Undirected;4
odoardo;pirro;Undirected;1
der_prinz;odoardo;Undirected;2
der_prinz;orsina;Undirected;1
claudia;orsina;Undirected;1
appiani;emilia;Undirected;1
odoardo;orsina;Undirected;3
marinelli;odoardo;Undirected;4
camillo_rota;der_prinz;Undirected;1
emilia;odoardo;Undirected;2
battista;der_prinz;Undirected;1
battista;marinelli;Undirected;3
